pas_de_temps,px moyen,px min,px max,count sample
2025-11-08T23:15:00,111.733333333333,110,113,30
2025-11-08T23:30:00,113.5,112,115,30
2025-11-08T23:45:00,107.933333333333,106,110,30
2025-11-09T00:00:00,112.7,112,114,30
2025-11-09T00:15:00,103.333333333333,102,105,30
2025-11-09T00:30:00,114.266666666667,114,115,30
2025-11-09T00:45:00,114.7,114,115,30
2025-11-09T01:00:00,107.5,106,109,30
2025-11-09T01:15:00,112.966666666667,111,115,30
2025-11-09T01:30:00,115.2,114,118,30
2025-11-09T01:45:00,109.133333333333,108,110,30
2025-11-09T02:00:00,108.666666666667,107,110,30
2025-11-09T02:15:00,111.766666666667,109,114,30
2025-11-09T02:30:00,137.3,135,142,30
2025-11-09T02:45:00,119.4,117,122,30
2025-11-09T03:00:00,115.066666666667,113,117,30
2025-11-09T03:15:00,127.8,116,134,30
2025-11-09T03:30:00,117.666666666667,116,120,30
2025-11-09T03:45:00,113.466666666667,112,115,30
2025-11-09T04:00:00,117.966666666667,110,125,30
2025-11-09T04:15:00,112.3,111,114,30
2025-11-09T04:30:00,109.6,109,111,30
2025-11-09T04:45:00,114.9,113,117,30
2025-11-09T05:00:00,116.833333333333,116,118,30
2025-11-09T05:15:00,108.1,105,110,30
2025-11-09T05:30:00,121.133333333333,115,131,30
2025-11-09T05:45:00,111.9,110,116,30
2025-11-09T06:00:00,90.2,90,91,30
2025-11-09T06:15:00,155.133333333333,154,156,30
2025-11-09T06:30:00,153.433333333333,153,154,30
2025-11-09T06:45:00,149.5,149,150,30
2025-11-09T07:00:00,147.2,147,148,30
2025-11-09T07:15:00,151.966666666667,151,152,30
2025-11-09T07:30:00,150.233333333333,149,151,30
2025-11-09T07:45:00,146.966666666667,146,148,30
2025-11-09T08:15:00,153.1,152,154,30
2025-11-09T08:30:00,149.566666666667,148,150,30
2025-11-09T08:45:00,151.966666666667,151,153,30
2025-11-09T09:00:00,151.566666666667,151,153,30
2025-11-09T09:15:00,152.166666666667,151,153,30
2025-11-09T09:30:00,150.933333333333,150,152,30
2025-11-09T09:45:00,146.466666666667,146,147,30
2025-11-09T10:00:00,148.833333333333,148,150,30
